sample_id,family,n_qubits,parameter,label,ground_energy,physical_diagnostic,split
0,tfim,4,1.5084840018233934,1,-6.534960288514656,0.08030452787537821,labelled
1,tfim,4,1.5918267927942658,1,-6.841804750588201,0.06928114005006536,labelled
2,tfim,4,0.3952045338703082,0,-3.257407072749757,0.8143886305880506,labelled
3,tfim,4,1.4880195067909736,1,-6.460074743380101,0.08335068928714977,labelled
4,tfim,4,0.7318292100893149,0,-3.956699272819966,0.4318986332075504,labelled
5,tfim,4,0.6140026533934977,0,-3.663104442733428,0.5614742160275352,labelled
6,tfim,4,0.3528445685250875,0,-3.2020449711453853,0.854661811747604,labelled
7,tfim,4,0.5647493412599276,0,-3.5548187008951038,0.6203347636339231,labelled
8,tfim,4,0.4370016333764373,0,-3.319462225117495,0.7703856742336648,labelled
9,tfim,4,0.45699762062891686,0,-3.3517815053219437,0.7480960233373313,labelled
10,tfim,4,1.6216015725672928,1,-6.952094659661548,0.06581975782722288,labelled
11,tfim,4,1.5516656855435467,1,-6.6935836949688685,0.07433184386310744,labelled
12,tfim,4,0.3074686799293547,0,-3.1509453633315023,0.8922634129506317,labelled
13,tfim,4,1.4546793742382564,1,-6.338497442929568,0.08863809966323545,labelled
14,tfim,4,1.3651788666799207,1,-6.014996226992422,0.10511262565296287,labelled
15,tfim,4,1.3753405883990468,1,-6.051498499963763,0.10305633637294632,labelled
16,tfim,4,0.5497289422795583,0,-3.5236640248645643,0.6384726937245493,labelled
17,tfim,4,1.6327971785735809,1,-6.993648724139097,0.06457622471050778,labelled
18,tfim,4,0.386346849322569,0,-3.2452081543868845,0.8231958063617171,labelled
19,tfim,4,0.3244831812638719,0,-3.1691299941110334,0.878865255725473,labelled
20,tfim,4,0.5519522411433351,0,-3.5282189513260533,0.6357869942022651,labelled
21,tfim,4,1.688604273536788,1,-7.2014298905968905,0.05881173618120929,labelled
22,tfim,4,0.44660929997005683,0,-3.3347783188505957,0.7597638188197559,labelled
23,tfim,4,0.3640665220455631,0,-3.215981592997512,0.8444580207589628,labelled
24,tfim,4,0.6542423921065635,0,-3.75818879243769,0.5149577545751007,labelled
25,tfim,4,0.4833345329772935,0,-3.3969434968183263,0.7177815194676709,labelled
26,tfim,4,1.7310432314556987,1,-7.3601125963335114,0.05486850925691569,labelled
27,tfim,4,1.5212106776416845,1,-6.581626380773652,0.07848202211882326,labelled
28,tfim,4,0.6978291101724456,0,-3.8673854452610334,0.4670638834464973,labelled
29,tfim,4,0.6347850352192959,0,-3.7114978983214306,0.5372153138329452,labelled
30,tfim,4,1.5674476274729097,1,-6.751752792711109,0.07229219695616977,labelled
31,tfim,4,0.20706226530174363,0,-3.066299613392849,0.9539972661967433,labelled
32,tfim,4,1.4811062929563485,1,-6.434821217337673,0.08441314529942429,labelled
33,tfim,4,1.6354624892254706,1,-7.003547982603798,0.06428467145336322,labelled
34,tfim,4,1.4256379921460243,1,-6.233048757024284,0.09359806104815926,labelled
35,tfim,4,1.6867170834265273,1,-7.194386618293082,0.05899550975828093,labelled
36,tfim,4,1.3538985006149522,1,-5.9745488819856405,0.10745653789293473,labelled
37,tfim,4,0.40084944062281525,0,-3.265354360841621,0.80867566663239,labelled
38,tfim,4,1.39385417547149,1,-6.118158029963775,0.0994394250874232,labelled
39,tfim,4,1.6521823620971445,1,-7.0657041254617585,0.06249407624772431,labelled
40,tfim,4,1.7707508850388067,1,-7.509068580151175,0.051484996173168596,labelled
41,tfim,4,0.29754425550267677,0,-3.1408698060790936,0.899683329538821,labelled
42,tfim,4,1.5836903221767384,1,-6.811724374306806,0.07026775486561809,labelled
43,tfim,4,0.2984141475214899,0,-3.1417374289865294,0.8990446483889767,labelled
44,tfim,4,1.4398053182670107,1,-6.284435607116594,0.09113533983612246,labelled
45,tfim,4,0.3649953270598324,0,-3.2171585103161604,0.8435980083640766,labelled
46,tfim,4,0.4462360458462965,0,-3.334175947639324,0.7601796022829066,labelled
47,tfim,4,1.4789488536458566,1,-6.42694486326727,0.08474826153958566,labelled
48,tfim,4,1.2509912944837505,1,-5.609465271360955,0.13220170577928997,labelled
49,tfim,4,1.5690156491613059,1,-6.757537711574308,0.07209350829726958,labelled
50,tfim,4,0.7059175882955031,0,-3.888316509872063,0.4585134029081308,labelled
51,tfim,4,1.5598575559764,1,-6.723764648688332,0.07326400362962397,labelled
52,tfim,4,1.5221563228543808,1,-6.585096723563604,0.07834873386388526,labelled
53,tfim,4,0.43942223577285455,0,-3.3232839494597624,0.7677256369767713,labelled
54,tfim,4,1.7452472794523222,1,-7.413344284478402,0.05362581574262673,labelled
55,tfim,4,0.48919926383988666,0,-3.4073995787407325,0.7109098149197992,labelled
56,tfim,4,0.5271762290533291,0,-3.4785856528812906,0.6656763088821049,labelled
57,tfim,4,0.5590316414768226,0,-3.5428538705468156,0.6272363936995132,labelled
58,tfim,4,0.40377528990942646,0,-3.269526696274593,0.80568462275615,labelled
59,tfim,4,1.4226011799943035,1,-6.222047616781862,0.09413696340502042,labelled
