evaluation,train_loss,validation_loss,success,message
0,0.6931471805600825,,,
1,0.6931471805601098,,,
2,0.6931471805594148,,,
3,0.6931471805592151,,,
4,0.6931471805592151,,,
5,0.6931471805594873,,,
6,0.6931471805595127,,,
7,0.6931471805591902,,,
8,0.69314718055897,,,
9,0.6931471805593458,,,
10,0.69314718055897,,,
11,0.6931471805588066,,,
12,0.6931471805584755,,,
13,0.6931471805584756,,,
14,0.6931471805585069,,,
15,0.6931471805583994,,,
16,0.6931471805583996,,,
17,0.6931471805584241,,,
18,0.6931471805584197,,,
19,0.6931471805579626,,,
20,0.693147180558003,,,
21,0.6931471805581388,,,
22,0.6931471805576618,,,
23,0.6931471805579017,,,
24,0.6931471805576709,,,
25,0.6931471805574153,,,
26,0.6931471805572469,,,
27,0.6931471805577145,,,
28,0.6931471805572629,,,
29,0.6931471805574304,,,
30,0.6931471805572469,,,
31,0.6931471805571766,,,
32,0.6931471805572554,,,
33,0.6931471805570624,,,
34,0.6931471805569532,,,
35,0.6931471805567048,,,
36,0.6931471805567183,,,
37,0.6931471805568383,,,
38,0.6931471805569634,,,
39,0.6931471805567254,,,
40,0.693147180556915,,,
41,0.6931471805568421,,,
42,0.6931471805565994,,,
43,0.6931471805564369,,,
44,0.6931471805568362,,,
45,0.6931471805564774,,,
46,0.6931471805564294,,,
47,0.6931471805562704,,,
48,0.6931471805563417,,,
49,0.6931471805564197,,,
50,0.6931471805561159,,,
51,0.6931471805560864,,,
52,0.6931471805564098,,,
53,0.6931471805560913,,,
54,0.6931471805562894,,,
55,0.6931471805561294,,,
56,0.6931471805561297,,,
57,0.6931471805561087,,,
58,0.6931471805560987,,,
59,0.6931471805560895,,,
60,0.6931471805561344,,,
61,0.6931471805561457,,,
62,0.6931471805561475,,,
63,0.6931471805561135,,,
64,0.6931471805561235,,,
65,0.6931471805561448,,,
66,0.6931471805562252,,,
67,0.693147180556262,,,
68,0.6931471805561297,,,
69,0.6931471805560384,,,
70,0.6931471805560088,,,
71,0.6931471805560181,,,
72,0.6931471805560153,,,
73,0.6931471805560011,,,
74,0.6931471805560181,,,
75,0.6931471805560022,,,
76,0.693147180555993,,,
77,0.6931471805559882,,,
78,0.6931471805559877,,,
79,0.6931471805559885,,,
80,0.6931471805559967,,,
81,0.693147180555977,,,
82,0.6931471805559773,,,
83,0.6931471805559833,,,
84,0.6931471805559699,,,
85,0.6931471805559656,,,
86,0.6931471805559725,,,
87,0.6931471805559675,,,
88,0.6931471805559545,,,
89,0.6931471805559569,,,
90,0.6931471805559543,,,
91,0.6931471805559483,,,
92,0.693147180555931,,,
93,0.6931471805559192,,,
94,0.693147180555909,,,
95,0.693147180555904,,,
96,0.6931471805558985,,,
97,0.6931471805558896,,,
98,0.693147180555883,,,
99,0.693147180555881,,,
100,0.6931471805558808,,,
101,0.6931471805558859,,,
102,0.6931471805558808,,,
103,0.6931471805558769,,,
104,0.6931471805558819,,,
105,0.6931471805558778,,,
106,0.6931471805558704,,,
107,0.6931471805558741,,,
108,0.6931471805558681,,,
109,0.6931471805558627,,,
110,0.6931471805558568,,,
111,0.6931471805558503,,,
112,0.6931471805558532,,,
113,0.6931471805558507,,,
114,0.6931471805558453,,,
115,0.6931471805558397,,,
116,0.6931471805558397,,,
117,0.6931471805558402,,,
118,0.6931471805558383,,,
119,0.6931471805558423,,,
120,,0.6931471805608048,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.
